address,price,beds,baths,sqft,property_type,link,full_text
"682 London St, San Francisco, CA 94112","$1,195,0003",3.0,2,"1,735",House,https://www.zillow.com/homedetails/682-London-St-San-Francisco-CA-94112/15176449_zpid/,"682 London St, San Francisco, CA 94112DREIM, Wesley Wong DRE #01809489$1,195,0003 bds2 ba1,735 sqft - House for saleShow more"
"275 Teddy Ave, San Francisco, CA 94134","$849,0003",3.0,2,"1,168",House,https://www.zillow.com/homedetails/275-Teddy-Ave-San-Francisco-CA-94134/15173777_zpid/,"275 Teddy Ave, San Francisco, CA 94134$849,0003 bds2 ba1,168 sqft - House for saleShow more"
"1035 Natoma St, San Francisco, CA 94103COMPASS, Jamie Lawrence","$1,195,0003",3.0,2,"1,370",House,https://www.zillow.com/homedetails/1035-Natoma-St-San-Francisco-CA-94103/15142447_zpid/,"1035 Natoma St, San Francisco, CA 94103COMPASS, Jamie Lawrence DRE #01880379$1,195,0003 bds2 ba1,370 sqft - House for saleShow more"
"1867 15th Ave, San Francisco, CA 94122SOTHEBY'S INTERNATIONAL REALTY, Marla Moresi-Valdes","$1,895,0003",3.0,2,"2,426",House,https://www.zillow.com/homedetails/1867-15th-Ave-San-Francisco-CA-94122/15112075_zpid/,"1867 15th Ave, San Francisco, CA 94122SOTHEBY'S INTERNATIONAL REALTY, Marla Moresi-Valdes DRE #01320998$1,895,0003 bds2 ba2,426 sqft - House for saleShow more"
"3511 23rd St #3, San Francisco, CA 94110COMPASS, John C. Farnham","$599,0001",1.0,1,,House,https://www.zillow.com/homedetails/3511-23rd-St-3-San-Francisco-CA-94110/454944154_zpid/,"3511 23rd St #3, San Francisco, CA 94110COMPASS, John C. Farnham DRE #01335382$599,0001 bd1 ba-- sqft - House for saleShow more"
"69 Pond St, San Francisco, CA 94114CORCORAN ICON PROPERTIES, Tyron J. Hooper","$995,0002",2.0,1,"1,152",Condo,https://www.zillow.com/homedetails/69-Pond-St-San-Francisco-CA-94114/2144611432_zpid/,"69 Pond St, San Francisco, CA 94114CORCORAN ICON PROPERTIES, Tyron J. Hooper DRE #01788530$995,0002 bds1 ba1,152 sqft - Condo for saleShow more"
"3511 23rd St #1, San Francisco, CA 94110COMPASS, John C. Farnham","$1,399,0003",3.0,2,"1,469",House,https://www.zillow.com/homedetails/3511-23rd-St-1-San-Francisco-CA-94110/454959201_zpid/,"3511 23rd St #1, San Francisco, CA 94110COMPASS, John C. Farnham DRE #01335382$1,399,0003 bds2 ba1,469 sqft - House for saleShow more"
"2922 Pine St, San Francisco, CA 94115CITY REAL ESTATE, Lisa Miller","$1,095,0002",2.0,2,"1,070",Condo,https://www.zillow.com/homedetails/2922-Pine-St-San-Francisco-CA-94115/119685758_zpid/,"2922 Pine St, San Francisco, CA 94115CITY REAL ESTATE, Lisa Miller DRE #01395837$1,095,0002 bds2 ba1,070 sqft - Condo for saleShow more"
"1220 La Playa St APT 105, San Francisco, CA 94122SEQUOIA REAL ESTATE, Stephanie O. Mates","$236,1911",1911.0,1,663,Condo,https://www.zillow.com/homedetails/1220-La-Playa-St-APT-105-San-Francisco-CA-94122/15100778_zpid/,"1220 La Playa St APT 105, San Francisco, CA 94122SEQUOIA REAL ESTATE, Stephanie O. Mates DRE #01953347$236,1911 bd1 ba663 sqft - Condo for saleShow more"
"100 Sloat Blvd, San Francisco, CA 94132ARIA PROPERTIES, Masood Samereie","$1,795,0003",3.0,3,"1,595",House,https://www.zillow.com/homedetails/100-Sloat-Blvd-San-Francisco-CA-94132/15126539_zpid/,"100 Sloat Blvd, San Francisco, CA 94132ARIA PROPERTIES, Masood Samereie DRE #01364696$1,795,0003 bds3 ba1,595 sqft - House for saleShow more"
